Generation,BestScore,AverageScore
0,14.161858875139757,13.623645886108045
1,14.355158107611746,14.117815025946111
2,14.355158107611746,14.228845044999357
3,14.355458301690541,14.32489595411943
4,14.355458301690541,14.347440618474218
5,14.355458301690541,14.350098589060812
